Lot,Diameter
1,19.9997
1,19.9562
1,20.0364
1,19.9908
1,20.0129
2,20.0325
2,20.0166
2,20.0344
2,20.0058
2,20.0416
3,20.0103
3,19.964
3,19.99
3,20.01
3,20.0616
4,19.9895
4,20.0804
4,20.0773
4,20.0056
4,19.9819
5,20.0801
5,20.0373
5,20.0636
5,20.0909
5,20.0788
6,20.0332
6,20.053
6,20.0048
6,20.0706
6,19.9554
7,19.9853
7,20.006
7,19.932
7,20.0306
7,20.096
8,20.0732
8,19.959
8,20.0823
8,19.976
8,20.0015
9,20.0
9,20.0061
9,20.0887
9,20.0534
9,20.0004
10,20.022
10,19.9973
10,20.0333
10,20.0421
10,20.0331
11,20.0752
11,20.0096
11,20.0004
11,20.0763
11,20.0586
12,20.1184
12,20.0187
12,20.0044
12,20.1133
12,20.0099
13,19.986
13,20.0543
13,20.0789
13,20.0588
13,20.0534
14,20.0879
14,20.066
14,20.052
14,20.0392
14,20.036
15,20.079
15,19.9663
15,20.0376
15,19.9804
15,20.0497
16,20.123
16,20.0426
16,20.0458
16,20.0383
16,19.9462
17,20.0411
17,19.9519
17,20.0061
17,20.0361
17,20.0453
18,20.0322
18,20.0398
18,20.0354
18,20.0472
18,20.0044
19,19.9954
19,20.059
19,19.9974
19,20.0282
19,20.1134
20,19.9873
20,19.9727
20,20.0456
20,19.9894
20,20.1329
21,20.0032
21,20.0195
21,20.0251
21,19.9252
21,20.0567
22,20.1547
22,20.0748
22,20.087
22,20.1866
22,20.1728
23,20.0377
23,19.9993
23,20.0459
23,20.0929
23,20.0249
24,20.0477
24,20.0915
24,20.0788
24,20.005
24,20.036
25,20.0458
25,20.0954
25,20.092
25,20.0721
25,20.0384
26,20.0529
26,20.1513
26,20.0527
26,20.078
26,20.0701
27,19.9871
27,19.9787
27,20.0225
27,20.1189
27,20.0522
28,20.0518
28,20.0484
28,20.027
28,20.0789
28,19.9844
29,20.0932
29,20.0657
29,20.0417
29,20.1754
29,20.0115
30,20.0259
30,20.0697
30,20.0334
30,20.0558
30,20.1405
